entity_name,variable_name,obs_count,first_date,last_date,min_val,max_val,avg_val
DJ Spinall,YouTube_subscribers_daily,696,2/3/2024,12/31/2025,306000,373821,347024.533045977
Dammy Krane,Instagram_followers_daily,251,1/1/2024,12/5/2025,345,683,525.8366533864541
Dammy Krane,Soundcloud_followers_daily,672,1/1/2024,12/31/2025,488,495,490.36160714285717
Dammy Krane,Spotify_followers_daily,727,1/1/2024,12/31/2025,9415,14129,11468.541953232461
Dammy Krane,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,15678,54899,29356.382393397525
Dammy Krane,Wikipedia_views_daily,724,1/1/2024,12/31/2025,3,715,30.66988950276243
Darey,Instagram_followers_daily,282,1/1/2024,12/26/2025,375422,381490,378217.90425531915
Darey,Soundcloud_followers_daily,552,1/1/2024,12/31/2025,1215,1222,1219.143115942029
Darey,Spotify_followers_daily,727,1/1/2024,12/31/2025,63347,76190,72355.00962861073
Darey,Spotify_monthly_listeners_daily,635,1/1/2024,9/30/2025,28827,164857,61919.166929133855
Darey,Wikipedia_views_daily,728,1/1/2024,12/31/2025,15,730,48.56318681318681
Darey,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,68100,76441,72564.2090784044
Darkoo,Instagram_followers_daily,667,1/1/2024,12/31/2025,319139,491474,411975.3208395802
Darkoo,Soundcloud_followers_daily,451,1/1/2024,12/31/2025,390,420,402.7184035476718
Darkoo,Spotify_followers_daily,727,1/1/2024,12/31/2025,81533,408798,206569.33837689133
Darkoo,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,2455776,5874216,3952445.98349381
Darkoo,TikTok_followers_daily,726,1/1/2024,12/31/2025,405400,979500,728579.8760330578
Darkoo,TikTok_likes_daily,727,1/1/2024,12/31/2025,6200000,24700000,16424508.955983493
Darkoo,Twitter_followers_daily,351,10/2/2024,12/31/2025,36229,50160,45514.35897435898
Darkoo,Wikipedia_views_daily,729,1/1/2024,12/31/2025,31,1497,235.56515775034293
Darkoo,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,199000,325000,263916.1045392022
Dremo,Instagram_followers_daily,362,1/1/2024,12/31/2025,1779874,2006284,1887331.9806629834
Dremo,Soundcloud_followers_daily,652,1/1/2024,12/31/2025,4234,4409,4338.700920245399
Dremo,Spotify_followers_daily,727,1/1/2024,12/31/2025,169249,236336,212970.70013755158
Dremo,Spotify_monthly_listeners_daily,543,1/1/2024,6/30/2025,96129,274573,142819.3443830571
Dremo,Twitter_followers_daily,139,7/22/2025,12/31/2025,1542518,1554152,1547986.0071942445
Dremo,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,6922,7040,6988.143053645117
Duncan Mighty,Instagram_followers_daily,250,1/1/2024,12/26/2025,1403312,1483051,1452154.512
Duncan Mighty,Spotify_followers_daily,727,1/1/2024,12/31/2025,207135,344868,271144.79367262725
Duncan Mighty,Spotify_monthly_listeners_daily,635,1/1/2024,9/30/2025,255131,511273,356037.0598425197
Duncan Mighty,Wikipedia_views_daily,731,1/1/2024,12/31/2025,15,166,48.05335157318741
Duncan Mighty,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,2460,2614,2529.0027510316368
Eldee,Instagram_followers_daily,266,1/1/2024,9/29/2025,144099,170313,161242.6090225564
Eldee,Spotify_followers_daily,640,4/1/2024,12/31/2025,44524,56810,50821.425
Eldee,Spotify_monthly_listeners_daily,635,1/1/2024,12/31/2025,31381,72756,48854.464566929135
Eldee,Twitter_followers_daily,1,4/19/2024,4/19/2024,1003524,1003524,1003524
Eldee,Wikipedia_views_daily,730,1/1/2024,12/31/2025,7,271,30.156164383561645
Flavour N'abania,Spotify_followers_daily,636,1/1/2024,12/31/2025,7483,7810,7519.190251572327
Flavour N'abania,Spotify_monthly_listeners_daily,635,1/1/2024,12/31/2025,60,205,103.17165354330709
Flavour N'abania,Wikipedia_views_daily,731,1/1/2024,12/31/2025,114,2737,277.6456908344733
Flavour N'abania,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,3150000,3906364,3529238.9876203574
