artist_name,nmas_artist_id,provider_country,classification,evidence,needs_nbs_adjudication,quarters_present,gross_streaming_revenue_usd_total
Abdul D One,abdul-d-one,NG,domestic,provider registers the artist in Nigeria,N,25,79757.52
Abefe,abefe,NG,domestic,provider registers the artist in Nigeria,N,9,144296.66
Abiodun,abiodun,DE,diaspora_candidate,provider registers the artist in DE,Y,30,1192.06
Abiodun Koya,abiodun-koya,NG,domestic,provider registers the artist in Nigeria,N,16,14.0
Abubakar Sani,abubakar-sani,,unknown,provider holds no country for this artist,Y,30,2125.46
AcebergTM,acebergtm,NG,domestic,provider registers the artist in Nigeria,N,25,15536.42
Ada Ehi,ada-ehi,NG,domestic,provider registers the artist in Nigeria,N,26,2153670.62
Adam A. Zango,adam-a.-zango,NG,domestic,provider registers the artist in Nigeria,N,30,6457.93
Adedoyin Oseni,adedoyin-oseni,NG,domestic,provider registers the artist in Nigeria,N,17,392.88
Adekunle Gold,adekunle-gold,NG,domestic,provider registers the artist in Nigeria,N,31,4038643.35
Adewale Ayuba,adewale-ayuba,NG,domestic,provider registers the artist in Nigeria,N,31,128048.46
Ado Gwanja,ado-gwanja,NG,domestic,provider registers the artist in Nigeria,N,31,73.67
Adé Bantu,adé-bantu,NG,domestic,provider registers the artist in Nigeria,N,20,7.33
Afrikan Boy,afrikan-boy,GB,diaspora_candidate,provider registers the artist in GB,Y,31,61511.22
Agboola Shadare,agboola-shadare,US,diaspora_candidate,provider registers the artist in US,Y,30,1692.43
Aisosa,aisosa,NG,domestic,provider registers the artist in Nigeria,N,20,494.79
Ajebo Hustlers,ajebo-hustlers,NG,domestic,provider registers the artist in Nigeria,N,5,8.51
Ajebutter22,ajebutter22,NG,domestic,provider registers the artist in Nigeria,N,31,470363.4
Ajofé,ajofé,NG,domestic,provider registers the artist in Nigeria,N,22,7297.24
Al Xapo,al-xapo,ZA,diaspora_candidate,provider registers the artist in ZA,Y,24,508082.59
Ali Jita,ali-jita,NG,domestic,provider registers the artist in Nigeria,N,30,218844.5
Alpha P,alpha-p,NG,domestic,provider registers the artist in Nigeria,N,29,221002.87
Altims,altims,,unknown,provider holds no country for this artist,Y,22,715.24
Al’ameen,al’ameen,,unknown,provider holds no country for this artist,Y,1,0.05
Amaarae,amaarae,GH,diaspora_candidate,provider registers the artist in GH,Y,30,8447435.47
Amarachi,amarachi,NG,domestic,provider registers the artist in Nigeria,N,30,1141.32
Aminu Alan Waka,aminu-alan-waka,NG,domestic,provider registers the artist in Nigeria,N,20,3863.96
Aminu Ladan,aminu-ladan,NG,domestic,provider registers the artist in Nigeria,N,30,89210.25
Amma,amma,NG,domestic,provider registers the artist in Nigeria,N,5,82954.84
Andre Vibez,andre-vibez,VN,diaspora_candidate,provider registers the artist in VN,Y,14,4702.3
Anike,anike,US,diaspora_candidate,provider registers the artist in US,Y,30,585584.7
Anyidons,anyidons,NG,domestic,provider registers the artist in Nigeria,N,28,66106.42
Aramide,aramide,NG,domestic,provider registers the artist in Nigeria,N,31,19847.4
Artquake,artquake,,unknown,provider holds no country for this artist,Y,30,114.25
Asake,asake,NG,domestic,provider registers the artist in Nigeria,N,29,10811718.98
Asuquomo,asuquomo,NG,domestic,provider registers the artist in Nigeria,N,29,1426.08
Auta Mg Boy,auta-mg-boy,NG,domestic,provider registers the artist in Nigeria,N,23,444341.34
Auta Waziri,auta-waziri,NG,domestic,provider registers the artist in Nigeria,N,25,107309.21
Ayeloyun,ayeloyun,,unknown,provider holds no country for this artist,Y,9,312.16
Ayinde Bakare,ayinde-bakare,,unknown,provider holds no country for this artist,Y,30,1949.92
Ayinla Kollington,ayinla-kollington,,unknown,provider holds no country for this artist,Y,5,4.28
Ayjay bobo,ayjay-bobo,NG,domestic,provider registers the artist in Nigeria,N,7,168812.49
Ayo Maff,ayo-maff,NG,domestic,provider registers the artist in Nigeria,N,14,1192460.25
Ayo Vincent,ayo-vincent,NG,domestic,provider registers the artist in Nigeria,N,26,3699.06
Ayola,ayola,NG,domestic,provider registers the artist in Nigeria,N,26,3804.09
Ayra Starr,ayra-starr,NG,domestic,provider registers the artist in Nigeria,N,23,21154653.84
Azanti,azanti,NG,domestic,provider registers the artist in Nigeria,N,24,113800.51
Aṣa,aṣa,FR,diaspora_candidate,provider registers the artist in FR,Y,31,754013.79
B.O.C Madaki,b.o.c-madaki,,unknown,provider holds no country for this artist,Y,23,42073.69
BBO,bbo,NG,domestic,provider registers the artist in Nigeria,N,26,218400.52
BNXN,bnxn,NG,domestic,provider registers the artist in Nigeria,N,30,6469378.16
Babatunde Olatunji,babatunde-olatunji,NG,domestic,provider registers the artist in Nigeria,N,31,24980.73
BabyDaiz,babydaiz,ZA,diaspora_candidate,provider registers the artist in ZA,Y,24,355638.22
Babyboy AV,babyboy-av,NG,domestic,provider registers the artist in Nigeria,N,20,1838837.23
Babá Ken Okulolo,babá-ken-okulolo,,unknown,provider holds no country for this artist,Y,30,867.0
Bad Boy Timz,bad-boy-timz,NG,domestic,provider registers the artist in Nigeria,N,29,649674.49
Bala Miller,bala-miller,,unknown,provider holds no country for this artist,Y,30,2965.75
Balloranking,balloranking,NG,domestic,provider registers the artist in Nigeria,N,24,544315.53
Banky W.,banky-w.,NG,domestic,provider registers the artist in Nigeria,N,31,505096.23
Bantu,bantu,NG,domestic,provider registers the artist in Nigeria,N,31,427533.15
Barmani Choge,barmani-choge,,unknown,provider holds no country for this artist,Y,1,22.77
Barry Jhay,barry-jhay,NG,domestic,provider registers the artist in Nigeria,N,31,306202.04
Batile Alake,batile-alake,,unknown,provider holds no country for this artist,Y,30,1493.17
Bayanni,bayanni,NG,domestic,provider registers the artist in Nigeria,N,17,2125511.97
Beautiful Nubia,beautiful-nubia,NG,domestic,provider registers the artist in Nigeria,N,31,57781.15
Bella Alubo,bella-alubo,NG,domestic,provider registers the artist in Nigeria,N,31,358803.05
Bella Kay,bella-kay,AU,diaspora_candidate,provider registers the artist in AU,Y,5,2923006.43
Bella Shmurda,bella-shmurda,NG,domestic,provider registers the artist in Nigeria,N,31,2366004.06
Bello Sisqo,bello-sisqo,DE,diaspora_candidate,provider registers the artist in DE,Y,25,1982.54
BenjiFlow,benjiflow,GB,diaspora_candidate,provider registers the artist in GB,Y,31,213960.24
Benzoo,benzoo,,unknown,provider holds no country for this artist,Y,29,704118.99
Bhadboi OML,bhadboi-oml,NG,domestic,provider registers the artist in Nigeria,N,22,376781.29
Bhadboy OML,bhadboy-oml,,unknown,provider holds no country for this artist,Y,6,0.42
Bidemi Olaoba,bidemi-olaoba,NG,domestic,provider registers the artist in Nigeria,N,30,194318.03
Billar Stoner,billar-stoner,NG,domestic,provider registers the artist in Nigeria,N,6,486.51
Blackface Naija,blackface-naija,NG,domestic,provider registers the artist in Nigeria,N,31,16.31
Blackmagic,blackmagic,NG,domestic,provider registers the artist in Nigeria,N,31,203394.99
Blaisebeatz,blaisebeatz,,unknown,provider holds no country for this artist,Y,6,92.88
Blaqbonez,blaqbonez,NG,domestic,provider registers the artist in Nigeria,N,31,1815152.58
Blessing Offor,blessing-offor,NG,domestic,provider registers the artist in Nigeria,N,30,1420056.51
Bloody Civilian,bloody-civilian,NG,domestic,provider registers the artist in Nigeria,N,17,730947.21
Bobby Benson,bobby-benson,NG,domestic,provider registers the artist in Nigeria,N,30,787.83
Boi Chase,boi-chase,NG,domestic,provider registers the artist in Nigeria,N,16,63206.4
Boj,boj,NG,domestic,provider registers the artist in Nigeria,N,31,1320983.97
Bola Abimbola,bola-abimbola,NG,domestic,provider registers the artist in Nigeria,N,30,206.45
Bola Are,bola-are,,unknown,provider holds no country for this artist,Y,11,95.16
Bongos Ikwue,bongos-ikwue,NG,domestic,provider registers the artist in Nigeria,N,31,8056.45
Boogey,boogey,NG,domestic,provider registers the artist in Nigeria,N,30,691.59
Bouqui,bouqui,NG,domestic,provider registers the artist in Nigeria,N,30,1511.08
Boy Muller,boy-muller,NG,domestic,provider registers the artist in Nigeria,N,14,275236.79
Boy Spyce,boy-spyce,NG,domestic,provider registers the artist in Nigeria,N,20,862702.61
BoyPee,boypee,NG,domestic,provider registers the artist in Nigeria,N,14,679456.01
Boyskido,boyskido,NG,domestic,provider registers the artist in Nigeria,N,22,66851.04
Bracket,bracket,NG,domestic,provider registers the artist in Nigeria,N,31,842594.54
Bright Chimezie,bright-chimezie,,unknown,provider holds no country for this artist,Y,31,23954.13
Broda Shaggi,broda-shaggi,NG,domestic,provider registers the artist in Nigeria,N,31,363535.29
Brown Joel,brown-joel,NG,domestic,provider registers the artist in Nigeria,N,29,730093.28
Brymo,brymo,NG,domestic,provider registers the artist in Nigeria,N,31,331608.15
Buchi,buchi,NG,domestic,provider registers the artist in Nigeria,N,31,56670.35
Burna Boy,burna-boy,NG,domestic,provider registers the artist in Nigeria,N,31,41159274.35
CDQ,cdq,NG,domestic,provider registers the artist in Nigeria,N,31,176637.06
CKay,ckay,NG,domestic,provider registers the artist in Nigeria,N,31,22057744.75
Candy Bleakz,candy-bleakz,NG,domestic,provider registers the artist in Nigeria,N,29,194086.62
Celestine Ukwu,celestine-ukwu,NG,domestic,provider registers the artist in Nigeria,N,31,13252.83
Champz,champz,NG,domestic,provider registers the artist in Nigeria,N,29,68266.29
Charly Boy,charly-boy,NG,domestic,provider registers the artist in Nigeria,N,30,1873.0
Chech,chech,NG,domestic,provider registers the artist in Nigeria,N,27,107636.73
Chella,chella,BR,diaspora_candidate,provider registers the artist in BR,Y,16,4001.9
Cheque,cheque,NG,domestic,provider registers the artist in Nigeria,N,29,731765.26
Chidinma,chidinma,NG,domestic,provider registers the artist in Nigeria,N,31,481563.71
Chief Stephen Osita Osadebe,chief-stephen-osita-osadebe,NG,domestic,provider registers the artist in Nigeria,N,31,248647.47
Chigozie Wisdom,chigozie-wisdom,NG,domestic,provider registers the artist in Nigeria,N,26,5249.49
Chike,chike,NG,domestic,provider registers the artist in Nigeria,N,30,3310285.51
Chinko Ekun,chinko-ekun,NG,domestic,provider registers the artist in Nigeria,N,31,79050.88
Chinyere Udoma,chinyere-udoma,NG,domestic,provider registers the artist in Nigeria,N,31,3130.6
Chioma Jesus,chioma-jesus,NG,domestic,provider registers the artist in Nigeria,N,29,176163.2
Chopstix,chopstix,NG,domestic,provider registers the artist in Nigeria,N,31,27284.7
Chris Ajilo,chris-ajilo,,unknown,provider holds no country for this artist,Y,30,732.08
Chris Delvan Gwamna,chris-delvan-gwamna,NG,domestic,provider registers the artist in Nigeria,N,29,11561.45
Christy Essien-Igbokwe,christy-essien-igbokwe,GB,diaspora_candidate,provider registers the artist in GB,Y,31,101787.41
Christy Ogbah,christy-ogbah,,unknown,provider holds no country for this artist,Y,30,405.15
Ciza,ciza,NG,domestic,provider registers the artist in Nigeria,N,29,508.67
Classiq,classiq,NG,domestic,provider registers the artist in Nigeria,N,30,11465.54
Cobhams Asuquo,cobhams-asuquo,NG,domestic,provider registers the artist in Nigeria,N,31,139824.22
Comfort Omoge,comfort-omoge,,unknown,provider holds no country for this artist,Y,11,143.76
Crayon,crayon,FR,diaspora_candidate,provider registers the artist in FR,Y,29,2219808.98
Cruel Santino,cruel-santino,NG,domestic,provider registers the artist in Nigeria,N,30,907222.04
CupidSzn,cupidszn,NG,domestic,provider registers the artist in Nigeria,N,11,325119.18
Cynthia Morgan,cynthia-morgan,NG,domestic,provider registers the artist in Nigeria,N,31,42436.21
D'Prince,d'prince,NG,domestic,provider registers the artist in Nigeria,N,30,97530.73
D'banj,d'banj,NG,domestic,provider registers the artist in Nigeria,N,31,841010.53
DETO BLACK,deto-black,NG,domestic,provider registers the artist in Nigeria,N,25,122432.07
DJ 4Kerty,dj-4kerty,NG,domestic,provider registers the artist in Nigeria,N,31,227967.24
DJ AB,dj-ab,NG,domestic,provider registers the artist in Nigeria,N,30,2126.74
DJ Baddo,dj-baddo,NG,domestic,provider registers the artist in Nigeria,N,31,26376.12
DJ Bally,dj-bally,,unknown,provider holds no country for this artist,Y,20,1.88
DJ Big N,dj-big-n,NG,domestic,provider registers the artist in Nigeria,N,31,144627.51
DJ Caise,dj-caise,,unknown,provider holds no country for this artist,Y,30,230.15
DJ Coublon,dj-coublon,NG,domestic,provider registers the artist in Nigeria,N,30,10109.46
DJ Cuppy,dj-cuppy,,unknown,provider holds no country for this artist,Y,4,12.05
DJ Enimoney,dj-enimoney,NG,domestic,provider registers the artist in Nigeria,N,31,68514.04
DJ Kaywise,dj-kaywise,NG,domestic,provider registers the artist in Nigeria,N,31,160581.05
DJ Neptune,dj-neptune,NG,domestic,provider registers the artist in Nigeria,N,31,1291602.35
DJ Shawn,dj-shawn,NG,domestic,provider registers the artist in Nigeria,N,24,13328.53
DJ Spinall,dj-spinall,NG,domestic,provider registers the artist in Nigeria,N,30,113716.61
DJ Switch,dj-switch,ZA,diaspora_candidate,provider registers the artist in ZA,Y,31,28256.92
DJ Tunez,dj-tunez,NG,domestic,provider registers the artist in Nigeria,N,2,18322.34
DJ Xclusive,dj-xclusive,NG,domestic,provider registers the artist in Nigeria,N,31,121135.44
DOTTi The Deity,dotti-the-deity,NG,domestic,provider registers the artist in Nigeria,N,18,70700.58
DRB Lasgidi,drb-lasgidi,NG,domestic,provider registers the artist in Nigeria,N,31,238052.07
Da Emperor,da-emperor,NG,domestic,provider registers the artist in Nigeria,N,30,306.5
Da Grin,da-grin,NG,domestic,provider registers the artist in Nigeria,N,30,2101.1
Daddy Fresh,daddy-fresh,NG,domestic,provider registers the artist in Nigeria,N,29,89.51
Daddy Showkey,daddy-showkey,NG,domestic,provider registers the artist in Nigeria,N,31,7235.34
Daecolm,daecolm,GB,diaspora_candidate,provider registers the artist in GB,Y,30,6278105.86
Dami Oniru,dami-oniru,NG,domestic,provider registers the artist in Nigeria,N,31,37821.63
Dammy Krane,dammy-krane,NG,domestic,provider registers the artist in Nigeria,N,31,36382.46
Dan Maraya,dan-maraya,NG,domestic,provider registers the artist in Nigeria,N,30,271.54
Dan Maraya Jos,dan-maraya-jos,,unknown,provider holds no country for this artist,Y,11,211.68
Dan Musa,dan-musa,,unknown,provider holds no country for this artist,Y,18,9562.48
Dandizzy,dandizzy,NG,domestic,provider registers the artist in Nigeria,N,31,131226.2
Dapo Torimiro,dapo-torimiro,,unknown,provider holds no country for this artist,Y,26,111.67
Darey,darey,NG,domestic,provider registers the artist in Nigeria,N,31,124330.98
Dareysteel,dareysteel,ES,diaspora_candidate,provider registers the artist in ES,Y,31,144.09
Darkoo,darkoo,GB,diaspora_candidate,provider registers the artist in GB,Y,30,5769617.13
Dauda Kahutu Rarara,dauda-kahutu-rarara,NG,domestic,provider registers the artist in Nigeria,N,26,226825.91
Davido,davido,NG,domestic,provider registers the artist in Nigeria,N,30,16191814.32
Davolee,davolee,NG,domestic,provider registers the artist in Nigeria,N,30,107339.62
Dede Mabiaku,dede-mabiaku,NG,domestic,provider registers the artist in Nigeria,N,17,0.37
Deena Ade,deena-ade,NG,domestic,provider registers the artist in Nigeria,N,30,2859.55
Deezell,deezell,US,diaspora_candidate,provider registers the artist in US,Y,31,30594.89
Dekumzy,dekumzy,NG,domestic,provider registers the artist in Nigeria,N,30,26912.0
Dele Ojo,dele-ojo,US,diaspora_candidate,provider registers the artist in US,Y,30,2782.53
Dele Taiwo,dele-taiwo,,unknown,provider holds no country for this artist,Y,30,459.85
Dencia,dencia,CM,diaspora_candidate,provider registers the artist in CM,Y,31,3365.72
Deobi,deobi,NG,domestic,provider registers the artist in Nigeria,N,11,82219.47
Di'Ja,di'ja,NG,domestic,provider registers the artist in Nigeria,N,31,81793.74
Dice Ailes,dice-ailes,NG,domestic,provider registers the artist in Nigeria,N,31,257700.16
Dizzy K Falola,dizzy-k-falola,GB,diaspora_candidate,provider registers the artist in GB,Y,30,11062.22
Don Jazzy,don-jazzy,NG,domestic,provider registers the artist in Nigeria,N,31,330952.76
Douyé,douyé,US,diaspora_candidate,provider registers the artist in US,Y,30,501.56
Dr Roy,dr-roy,,unknown,provider holds no country for this artist,Y,21,5444.62
Dr SID,dr-sid,NG,domestic,provider registers the artist in Nigeria,N,31,191457.17
Dr Sir Warrior,dr-sir-warrior,NG,domestic,provider registers the artist in Nigeria,N,31,37182.21
Dr. Alban,dr.-alban,NG,domestic,provider registers the artist in Nigeria,N,31,8129618.2
Dremo,dremo,NG,domestic,provider registers the artist in Nigeria,N,31,213230.15
Duncan Mighty,duncan-mighty,NG,domestic,provider registers the artist in Nigeria,N,31,398368.21
Dunsin Oyekan,dunsin-oyekan,NG,domestic,provider registers the artist in Nigeria,N,31,1949405.36
ELMAH,elmah,NG,domestic,provider registers the artist in Nigeria,N,12,107338.12
Eben,eben,NG,domestic,provider registers the artist in Nigeria,N,30,728629.69
Ebenezer Obey,ebenezer-obey,NG,domestic,provider registers the artist in Nigeria,N,31,3355.26
Ebuka Songs,ebuka-songs,NG,domestic,provider registers the artist in Nigeria,N,15,734589.76
Echezonachukwu Nduka,echezonachukwu-nduka,NG,domestic,provider registers the artist in Nigeria,N,26,552.28
Ecool,ecool,NG,domestic,provider registers the artist in Nigeria,N,27,229024.13
Eddy Wata,eddy-wata,NG,domestic,provider registers the artist in Nigeria,N,31,114744.0
EdoMan,edoman,NG,domestic,provider registers the artist in Nigeria,N,5,83369.56
EeQue,eeque,ZA,diaspora_candidate,provider registers the artist in ZA,Y,26,704033.16
Eedris Abdulkareem,eedris-abdulkareem,NG,domestic,provider registers the artist in Nigeria,N,30,53212.76
Ejyk Nwamba,ejyk-nwamba,NG,domestic,provider registers the artist in Nigeria,N,22,122571.37
Eldee,eldee,NG,domestic,provider registers the artist in Nigeria,N,31,53408.75
Elestee,elestee,KR,diaspora_candidate,provider registers the artist in KR,Y,10,54466.17
Ema Onigah,ema-onigah,NG,domestic,provider registers the artist in Nigeria,N,24,86018.86
Emma Nyra,emma-nyra,US,diaspora_candidate,provider registers the artist in US,Y,31,10099.21
EmmaOMG,emmaomg,NG,domestic,provider registers the artist in Nigeria,N,31,614122.1
Emmanuel Iren,emmanuel-iren,NG,domestic,provider registers the artist in Nigeria,N,21,267378.97
Emmkoo,emmkoo,NG,domestic,provider registers the artist in Nigeria,N,23,5134357.75
Emmy Gee,emmy-gee,NG,domestic,provider registers the artist in Nigeria,N,31,9852.53
Erigga,erigga,NG,domestic,provider registers the artist in Nigeria,N,31,375385.34
Eskeez,eskeez,,unknown,provider holds no country for this artist,Y,21,2851.62
Eso Dike,eso-dike,US,diaspora_candidate,provider registers the artist in US,Y,26,5.87
Eva Alordiah,eva-alordiah,NG,domestic,provider registers the artist in Nigeria,N,31,12101.56
Evado,evado,NG,domestic,provider registers the artist in Nigeria,N,22,107542.41
Evi Edna Ogholi,evi-edna-ogholi,NG,domestic,provider registers the artist in Nigeria,N,31,21909.25
FOLA,fola,NG,domestic,provider registers the artist in Nigeria,N,21,1261966.88
Falz,falz,NG,domestic,provider registers the artist in Nigeria,N,31,1041560.11
Famous Pluto,famous-pluto,NG,domestic,provider registers the artist in Nigeria,N,8,696662.41
Fatai Rolling Dollar,fatai-rolling-dollar,NG,domestic,provider registers the artist in Nigeria,N,31,18948.42
Fave,fave,FR,diaspora_candidate,provider registers the artist in FR,Y,27,2591771.01
Faze,faze,NG,domestic,provider registers the artist in Nigeria,N,30,23252.56
Feezy,feezy,NG,domestic,provider registers the artist in Nigeria,N,26,14964.87
Fela Kuti,fela-kuti,NG,domestic,provider registers the artist in Nigeria,N,31,996787.2
Fela Sowande,fela-sowande,,unknown,provider holds no country for this artist,Y,30,23478.31
Femi Kuti,femi-kuti,GB,diaspora_candidate,provider registers the artist in GB,Y,31,254004.94
Femi Leye,femi-leye,NG,domestic,provider registers the artist in Nigeria,N,31,2210.0
Femi Temowo,femi-temowo,GB,diaspora_candidate,provider registers the artist in GB,Y,31,1077.63
Fido,fido,EG,diaspora_candidate,provider registers the artist in EG,Y,8,1085700.87
Fiokee,fiokee,NG,domestic,provider registers the artist in Nigeria,N,31,190878.2
Fireboy DML,fireboy-dml,NG,domestic,provider registers the artist in Nigeria,N,31,14299952.3
FirstKlaz,firstklaz,NG,domestic,provider registers the artist in Nigeria,N,25,151915.46
Fitzy West,fitzy-west,NG,domestic,provider registers the artist in Nigeria,N,26,9578.18
Flavour,flavour,NG,domestic,provider registers the artist in Nigeria,N,31,4113499.37
Flossing,flossing,US,diaspora_candidate,provider registers the artist in US,Y,22,1675.12
Folabi Nuel,folabi-nuel,NG,domestic,provider registers the artist in Nigeria,N,31,155556.53
Frank Edwards,frank-edwards,NG,domestic,provider registers the artist in Nigeria,N,31,578316.21
GMK,gmk,NG,domestic,provider registers the artist in Nigeria,N,30,7783.36
Gabriel Afolayan,gabriel-afolayan,NG,domestic,provider registers the artist in Nigeria,N,31,9141.68
Gaise Baba,gaise-baba,NG,domestic,provider registers the artist in Nigeria,N,29,726179.36
Garzali Miko,garzali-miko,NG,domestic,provider registers the artist in Nigeria,N,25,102008.21
General Pype,general-pype,NG,domestic,provider registers the artist in Nigeria,N,31,13959.86
Ghost,ghost,SE,diaspora_candidate,provider registers the artist in SE,Y,31,15084052.78
Goldie Harvey,goldie-harvey,,unknown,provider holds no country for this artist,Y,30,1321.79
GoodGirl LA,goodgirl-la,NG,domestic,provider registers the artist in Nigeria,N,31,102769.92
Goya Menor,goya-menor,NG,domestic,provider registers the artist in Nigeria,N,22,698754.89
Greatman Takit,greatman-takit,NG,domestic,provider registers the artist in Nigeria,N,25,316459.65
Guchi,guchi,NG,domestic,provider registers the artist in Nigeria,N,29,904112.39
Hamisu Breaker,hamisu-breaker,NG,domestic,provider registers the artist in Nigeria,N,29,500542.8
Happi,happi,GB,diaspora_candidate,provider registers the artist in GB,Y,30,571201.9
HarrySong,harrysong,NG,domestic,provider registers the artist in Nigeria,N,31,186927.92
Haruna Ishola,haruna-ishola,NG,domestic,provider registers the artist in Nigeria,N,31,2363.41
Hauwa Yarfulani,hauwa-yarfulani,,unknown,provider holds no country for this artist,Y,18,227.3
Hotkeed,hotkeed,CA,diaspora_candidate,provider registers the artist in CA,Y,29,589329.52
Hotyce,hotyce,NG,domestic,provider registers the artist in Nigeria,N,31,2195.04
Humblesmith,humblesmith,NG,domestic,provider registers the artist in Nigeria,N,31,94318.13
Hurlarstringz,hurlarstringz,,unknown,provider holds no country for this artist,Y,2,0.22
Hyce,hyce,NG,domestic,provider registers the artist in Nigeria,N,24,627913.04
I.K. Dairo,i.k.-dairo,,unknown,provider holds no country for this artist,Y,31,6735.67
Ice Prince,ice-prince,NG,domestic,provider registers the artist in Nigeria,N,31,1281454.71
Idahams,idahams,NG,domestic,provider registers the artist in Nigeria,N,30,184193.84
Ifi Ude,ifi-ude,PL,diaspora_candidate,provider registers the artist in PL,Y,30,20754.81
Ifé,ifé,JP,diaspora_candidate,provider registers the artist in JP,Y,31,54192.59
Ikechukwu,ikechukwu,NG,domestic,provider registers the artist in Nigeria,N,31,16789.4
IllRymz,illrymz,NG,domestic,provider registers the artist in Nigeria,N,30,6.23
Illbliss,illbliss,NG,domestic,provider registers the artist in Nigeria,N,31,144233.26
Isah Ayagi,isah-ayagi,NG,domestic,provider registers the artist in Nigeria,N,25,64201.2
Iseoluwa Abidemi,iseoluwa-abidemi,,unknown,provider holds no country for this artist,Y,28,10.42
Iyanya,iyanya,NG,domestic,provider registers the artist in Nigeria,N,31,1724350.42
J. Martins,j.-martins,NG,domestic,provider registers the artist in Nigeria,N,31,415404.75
JJC Skillz,jjc-skillz,,unknown,provider holds no country for this artist,Y,9,0.68
JNR ELDER,jnr-elder,NG,domestic,provider registers the artist in Nigeria,N,6,56804.63
Jahdiel,jahdiel,NG,domestic,provider registers the artist in Nigeria,N,31,9350.19
Jamopyper,jamopyper,NG,domestic,provider registers the artist in Nigeria,N,28,91445.95
Jasën Blu,jasën-blu,NG,domestic,provider registers the artist in Nigeria,N,29,239.59
JaySynths,jaysynths,NG,domestic,provider registers the artist in Nigeria,N,23,10912.6
Jaywon,jaywon,NG,domestic,provider registers the artist in Nigeria,N,31,65419.28
Jeremiah Gyang,jeremiah-gyang,NG,domestic,provider registers the artist in Nigeria,N,31,11957.74
Jesse Jagz,jesse-jagz,NG,domestic,provider registers the artist in Nigeria,N,31,70267.08
Jesse King,jesse-king,NG,domestic,provider registers the artist in Nigeria,N,26,125.72
Jigsaw,jigsaw,TH,diaspora_candidate,provider registers the artist in TH,Y,23,146280.37
Jinmi Abduls,jinmi-abduls,NG,domestic,provider registers the artist in Nigeria,N,31,48242.38
JoBlaq,joblaq,NG,domestic,provider registers the artist in Nigeria,N,10,90626.6
Joe El,joe-el,NG,domestic,provider registers the artist in Nigeria,N,30,13136.89
Joe Praize,joe-praize,,unknown,provider holds no country for this artist,Y,30,4033.17
Joeboy,joeboy,NG,domestic,provider registers the artist in Nigeria,N,31,6141055.37
John Okafor,john-okafor,,unknown,provider holds no country for this artist,Y,5,329.07
Johnny Crown,johnny-crown,US,diaspora_candidate,provider registers the artist in US,Y,30,2379.87
Johnny Drille,johnny-drille,NG,domestic,provider registers the artist in Nigeria,N,31,1470718.29
Josiah Ransome-Kuti,josiah-ransome-kuti,NG,domestic,provider registers the artist in Nigeria,N,30,19.78
Judikay,judikay,NG,domestic,provider registers the artist in Nigeria,N,30,589178.57
Jumabee,jumabee,NG,domestic,provider registers the artist in Nigeria,N,31,15358.75
Juno,juno,NG,domestic,provider registers the artist in Nigeria,N,14,88516.54
Justina Lee Brown,justina-lee-brown,CH,diaspora_candidate,provider registers the artist in CH,Y,30,6770.62
K1 De Ultimate,k1-de-ultimate,NG,domestic,provider registers the artist in Nigeria,N,31,286153.11
KC Presh,kc-presh,,unknown,provider holds no country for this artist,Y,30,1483.16
KDDO,kddo,NG,domestic,provider registers the artist in Nigeria,N,30,305270.52
KWAM 1,kwam-1,,unknown,provider holds no country for this artist,Y,31,22503.38
Kawu Dan Sarki,kawu-dan-sarki,NG,domestic,provider registers the artist in Nigeria,N,20,130728.31
KayArchonn,kayarchonn,US,diaspora_candidate,provider registers the artist in US,Y,6,286808.32
Kcee,kcee,NG,domestic,provider registers the artist in Nigeria,N,31,909479.42
Kefee,kefee,,unknown,provider holds no country for this artist,Y,31,24627.47
Kel-P,kel-p,NG,domestic,provider registers the artist in Nigeria,N,22,130798.22
Kelly Handsome,kelly-handsome,,unknown,provider holds no country for this artist,Y,29,84.98
Kemena,kemena,NG,domestic,provider registers the artist in Nigeria,N,26,7907.32
Kendickson,kendickson,NG,domestic,provider registers the artist in Nigeria,N,30,55714.51
Kenny K'ore,kenny-k'ore,NG,domestic,provider registers the artist in Nigeria,N,31,3802.87
Kenny Ogungbe,kenny-ogungbe,,unknown,provider holds no country for this artist,Y,29,10.75
Ketchup,ketchup,NG,domestic,provider registers the artist in Nigeria,N,31,99386.67
Kfmd,kfmd,NG,domestic,provider registers the artist in Nigeria,N,2,22011.73
Khaid,khaid,NG,domestic,provider registers the artist in Nigeria,N,19,2320052.01
Kheengz,kheengz,NG,domestic,provider registers the artist in Nigeria,N,30,4871.56
Kibilou,kibilou,NG,domestic,provider registers the artist in Nigeria,N,17,81558.2
Kida Kudz,kida-kudz,GB,diaspora_candidate,provider registers the artist in GB,Y,31,463631.92
Kidd Carder,kidd-carder,NG,domestic,provider registers the artist in Nigeria,N,23,540860.89
Killertunes,killertunes,NG,domestic,provider registers the artist in Nigeria,N,30,64014.44
King Perryy,king-perryy,NG,domestic,provider registers the artist in Nigeria,N,31,392088.07
King Steve Benjamin,king-steve-benjamin,NG,domestic,provider registers the artist in Nigeria,N,25,3937.8
King Sunny Ade,king-sunny-ade,NG,domestic,provider registers the artist in Nigeria,N,31,148426.06
King Wadada,king-wadada,NG,domestic,provider registers the artist in Nigeria,N,27,418.72
Kizz Daniel,kizz-daniel,NG,domestic,provider registers the artist in Nigeria,N,31,10138400.36
