artist_name,nmas_artist_id,provider_country,classification,evidence,needs_nbs_adjudication,quarters_present,gross_streaming_revenue_usd_total
Phyno,phyno,NG,domestic,provider registers the artist in Nigeria,N,31,1501096.18
Plantashun Boiz,plantashun-boiz,NG,domestic,provider registers the artist in Nigeria,N,31,16938.1
Plutomania,plutomania,NG,domestic,provider registers the artist in Nigeria,N,2,7246.71
Poco Lee,poco-lee,NG,domestic,provider registers the artist in Nigeria,N,28,575255.01
Portable,portable,NG,domestic,provider registers the artist in Nigeria,N,5,166960.31
Praiz,praiz,NG,domestic,provider registers the artist in Nigeria,N,31,416698.2
Prettyboy D-O,prettyboy-d-o,NG,domestic,provider registers the artist in Nigeria,N,31,159674.95
Preye Odede,preye-odede,NG,domestic,provider registers the artist in Nigeria,N,31,201045.06
Prince Adekunle,prince-adekunle,NG,domestic,provider registers the artist in Nigeria,N,30,789.56
Prince Mk Baagi,prince-mk-baagi,NG,domestic,provider registers the artist in Nigeria,N,17,77722.76
Prince Nico Mbarga,prince-nico-mbarga,NG,domestic,provider registers the artist in Nigeria,N,31,3332.88
Princess Peters,princess-peters,NG,domestic,provider registers the artist in Nigeria,N,26,22726.46
Projexx,projexx,JM,diaspora_candidate,provider registers the artist in JM,Y,30,654984.43
Prospa Ochimana,prospa-ochimana,NG,domestic,provider registers the artist in Nigeria,N,31,897805.12
PsychoYp,psychoyp,NG,domestic,provider registers the artist in Nigeria,N,30,1009.68
Qdot,qdot,NG,domestic,provider registers the artist in Nigeria,N,31,231019.42
Qing Madi,qing-madi,NG,domestic,provider registers the artist in Nigeria,N,16,1739942.14
Ras Kimono,ras-kimono,NG,domestic,provider registers the artist in Nigeria,N,31,32833.89
Reekado Banks,reekado-banks,NG,domestic,provider registers the artist in Nigeria,N,31,1546513.93
Rema,rema,NG,domestic,provider registers the artist in Nigeria,N,31,36315745.18
Remi Aluko,remi-aluko,,unknown,provider holds no country for this artist,Y,28,3767.12
Reminisce,reminisce,NG,domestic,provider registers the artist in Nigeria,N,31,474981.06
Rex Lawson,rex-lawson,GB,diaspora_candidate,provider registers the artist in GB,Y,30,3554.22
Ric Hassani,ric-hassani,NG,domestic,provider registers the artist in Nigeria,N,31,1634282.34
Ruby Gyang,ruby-gyang,NG,domestic,provider registers the artist in Nigeria,N,29,84.87
Rude Boy,rude-boy,US,diaspora_candidate,provider registers the artist in US,Y,29,420611.07
Ruger,ruger,NG,domestic,provider registers the artist in Nigeria,N,24,6658203.56
Ruggedman,ruggedman,NG,domestic,provider registers the artist in Nigeria,N,31,8248.63
Rumerh,rumerh,NG,domestic,provider registers the artist in Nigeria,N,10,5214.62
Runtown,runtown,NG,domestic,provider registers the artist in Nigeria,N,31,2938143.29
Rybeena,rybeena,NG,domestic,provider registers the artist in Nigeria,N,26,546724.43
Rymzo,rymzo,,unknown,provider holds no country for this artist,Y,31,907.1
S.N.E,s.n.e,ZA,diaspora_candidate,provider registers the artist in ZA,Y,23,588627.33
S1ordie,s1ordie,US,diaspora_candidate,provider registers the artist in US,Y,14,17827.12
SAMAD,samad,NG,domestic,provider registers the artist in Nigeria,N,29,270766.19
SSSoundGawd,sssoundgawd,NG,domestic,provider registers the artist in Nigeria,N,6,274897.97
Sade Adu,sade-adu,GB,diaspora_candidate,provider registers the artist in GB,Y,30,2921426.12
Sadi Sidi Sharifai,sadi-sidi-sharifai,NG,domestic,provider registers the artist in Nigeria,N,25,859.32
Sadiq Saleh,sadiq-saleh,NG,domestic,provider registers the artist in Nigeria,N,18,183943.94
Sadiq Zazzabi,sadiq-zazzabi,NG,domestic,provider registers the artist in Nigeria,N,25,2350.92
Saeon,saeon,,unknown,provider holds no country for this artist,Y,31,2344.32
Saffron,saffron,,unknown,provider holds no country for this artist,Y,12,155.12
Safin De Coque,safin-de-coque,NG,domestic,provider registers the artist in Nigeria,N,19,86.7
Salawa Abeni,salawa-abeni,,unknown,provider holds no country for this artist,Y,1,0.02
Salim Smart,salim-smart,NG,domestic,provider registers the artist in Nigeria,N,24,99042.69
Sammie Okposo,sammie-okposo,NG,domestic,provider registers the artist in Nigeria,N,31,89551.97
Samsong,samsong,NG,domestic,provider registers the artist in Nigeria,N,31,157587.67
Sani Ahmad,sani-ahmad,NG,domestic,provider registers the artist in Nigeria,N,20,115364.17
Sani Danja,sani-danja,NG,domestic,provider registers the artist in Nigeria,N,30,21096.87
Saoty Arewa,saoty-arewa,NG,domestic,provider registers the artist in Nigeria,N,26,22528.41
Sarz,sarz,NG,domestic,provider registers the artist in Nigeria,N,31,4284956.12
Sasha P,sasha-p,NG,domestic,provider registers the artist in Nigeria,N,30,173.12
Sauce Kid,sauce-kid,US,diaspora_candidate,provider registers the artist in US,Y,30,6556.25
Sean Dampte,sean-dampte,GB,diaspora_candidate,provider registers the artist in GB,Y,30,94285.14
Sean Tizzle,sean-tizzle,NG,domestic,provider registers the artist in Nigeria,N,31,315026.51
Sefiu Alao Adekunle,sefiu-alao-adekunle,,unknown,provider holds no country for this artist,Y,18,299.59
Segun Adewale,segun-adewale,NG,domestic,provider registers the artist in Nigeria,N,30,10095.55
Segun Bucknor,segun-bucknor,NG,domestic,provider registers the artist in Nigeria,N,31,1231.17
Seun Kuti,seun-kuti,NG,domestic,provider registers the artist in Nigeria,N,31,460997.95
Sexy Steel,sexy-steel,,unknown,provider holds no country for this artist,Y,30,399.18
Seyi Shay,seyi-shay,NG,domestic,provider registers the artist in Nigeria,N,31,247471.89
Seyi Sodimu,seyi-sodimu,NG,domestic,provider registers the artist in Nigeria,N,30,5694.95
Seyi Vibez,seyi-vibez,NG,domestic,provider registers the artist in Nigeria,N,29,2835947.8
Shaffy Bello,shaffy-bello,,unknown,provider holds no country for this artist,Y,6,225.59
Shaiboy,shaiboy,NG,domestic,provider registers the artist in Nigeria,N,26,16451.92
Shallipopi,shallipopi,NG,domestic,provider registers the artist in Nigeria,N,16,3663787.45
Shanga,shanga,CH,diaspora_candidate,provider registers the artist in CH,Y,31,6345.96
Shank,shank,JP,diaspora_candidate,provider registers the artist in JP,Y,30,61965.63
Shaybo,shaybo,GB,diaspora_candidate,provider registers the artist in GB,Y,29,397887.19
Shaydee,shaydee,NG,domestic,provider registers the artist in Nigeria,N,31,4345.01
Shekx,shekx,NG,domestic,provider registers the artist in Nigeria,N,16,3254.95
Shina Peters,shina-peters,NG,domestic,provider registers the artist in Nigeria,N,25,9.45
Shoday,shoday,NG,domestic,provider registers the artist in Nigeria,N,19,1124886.1
Show Dem Camp,show-dem-camp,NG,domestic,provider registers the artist in Nigeria,N,31,598680.17
Shugavybz,shugavybz,NG,domestic,provider registers the artist in Nigeria,N,25,5663.37
Sikiru Ayinde Barrister,sikiru-ayinde-barrister,,unknown,provider holds no country for this artist,Y,14,26.81
Simi,simi,NG,domestic,provider registers the artist in Nigeria,N,31,2015725.41
Sinach,sinach,NG,domestic,provider registers the artist in Nigeria,N,31,2082407.03
Sir Shina Peters,sir-shina-peters,NG,domestic,provider registers the artist in Nigeria,N,31,31891.19
Skales,skales,NG,domestic,provider registers the artist in Nigeria,N,31,1626164.4
Skepta,skepta,GB,diaspora_candidate,provider registers the artist in GB,Y,31,13681611.26
Skiibii,skiibii,NG,domestic,provider registers the artist in Nigeria,N,31,1572581.28
Slimcase,slimcase,NG,domestic,provider registers the artist in Nigeria,N,31,192486.93
Slowdog,slowdog,NG,domestic,provider registers the artist in Nigeria,N,29,17758.72
Small Doctor,small-doctor,NG,domestic,provider registers the artist in Nigeria,N,31,70206.94
Smur Lee,smur-lee,NG,domestic,provider registers the artist in Nigeria,N,14,704414.18
Snatcha,snatcha,GB,diaspora_candidate,provider registers the artist in GB,Y,31,2372.37
Snazzy the Optimist,snazzy-the-optimist,NG,domestic,provider registers the artist in Nigeria,N,19,800.4
Sogha Niger,sogha-niger,,unknown,provider holds no country for this artist,Y,15,3395.82
Sola Allyson,sola-allyson,NG,domestic,provider registers the artist in Nigeria,N,31,266836.68
Solidstar,solidstar,NG,domestic,provider registers the artist in Nigeria,N,31,169773.26
Somadina,somadina,NG,domestic,provider registers the artist in Nigeria,N,30,15850.04
Sonnie Badu,sonnie-badu,GH,diaspora_candidate,provider registers the artist in GH,Y,31,337263.88
Sonny Okosun,sonny-okosun,NG,domestic,provider registers the artist in Nigeria,N,31,26777.35
Sonny Okosuns,sonny-okosuns,,unknown,provider holds no country for this artist,Y,4,33.47
Sound Sultan,sound-sultan,NG,domestic,provider registers the artist in Nigeria,N,31,72745.76
Soundz,soundz,NG,domestic,provider registers the artist in Nigeria,N,28,850025.16
Specikinging,specikinging,NG,domestic,provider registers the artist in Nigeria,N,29,10781.72
Spellz,spellz,NG,domestic,provider registers the artist in Nigeria,N,30,353912.72
Spinall,spinall,NG,domestic,provider registers the artist in Nigeria,N,30,2917063.63
Spyro,spyro,NG,domestic,provider registers the artist in Nigeria,N,30,2168986.98
St. Seií,st.-seií,NG,domestic,provider registers the artist in Nigeria,N,17,13868.56
Starsamm,starsamm,NG,domestic,provider registers the artist in Nigeria,N,16,3639.2
SteveHills,stevehills,NG,domestic,provider registers the artist in Nigeria,N,12,323263.17
Straffitti,straffitti,NG,domestic,provider registers the artist in Nigeria,N,30,100602.74
Styl-Plus,styl-plus,NG,domestic,provider registers the artist in Nigeria,N,31,231430.57
Sunkanmi,sunkanmi,NG,domestic,provider registers the artist in Nigeria,N,31,9133.47
Sunmisola Agbebi,sunmisola-agbebi,NG,domestic,provider registers the artist in Nigeria,N,19,1032574.77
Sunny Ade,sunny-ade,,unknown,provider holds no country for this artist,Y,31,80.05
Supernovamusician,supernovamusician,,unknown,provider holds no country for this artist,Y,20,401.31
Superstar YB,superstar-yb,NG,domestic,provider registers the artist in Nigeria,N,25,19408.35
Suté Iwar,suté-iwar,NG,domestic,provider registers the artist in Nigeria,N,26,34935.56
Syemca,syemca,NG,domestic,provider registers the artist in Nigeria,N,25,133257.86
T'neeya,t'neeya,CM,diaspora_candidate,provider registers the artist in CM,Y,31,27895.03
T-Classic,t-classic,NG,domestic,provider registers the artist in Nigeria,N,31,125392.08
T-Plux,t-plux,MY,diaspora_candidate,provider registers the artist in MY,Y,26,198.48
T.I BLAZE,t.i-blaze,NG,domestic,provider registers the artist in Nigeria,N,20,777981.85
TAR1Q,tar1q,NG,domestic,provider registers the artist in Nigeria,N,17,268208.05
TUFF KING,tuff-king,NG,domestic,provider registers the artist in Nigeria,N,9,159810.78
TY Bello,ty-bello,NG,domestic,provider registers the artist in Nigeria,N,31,488621.12
Tamara Jones,tamara-jones,AU,diaspora_candidate,provider registers the artist in AU,Y,29,47.79
Tay Iwar,tay-iwar,NG,domestic,provider registers the artist in Nigeria,N,30,978185.96
Taye Currency,taye-currency,,unknown,provider holds no country for this artist,Y,14,2.11
Taye Olusola,taye-olusola,,unknown,provider holds no country for this artist,Y,11,1.28
TeeMirror,teemirror,NG,domestic,provider registers the artist in Nigeria,N,17,297.81
Teezee,teezee,NG,domestic,provider registers the artist in Nigeria,N,30,328820.49
Tekno,tekno,NG,domestic,provider registers the artist in Nigeria,N,31,4915447.14
Tekno Miles,tekno-miles,NG,domestic,provider registers the artist in Nigeria,N,31,3216.59
Temi DollFace,temi-dollface,NG,domestic,provider registers the artist in Nigeria,N,30,421.31
Tempoe,tempoe,US,diaspora_candidate,provider registers the artist in US,Y,17,2760023.67
Tems,tems,NG,domestic,provider registers the artist in Nigeria,N,30,25506838.72
Teni,teni,NG,domestic,provider registers the artist in Nigeria,N,31,2565870.36
Terri,terri,NG,domestic,provider registers the artist in Nigeria,N,30,280016.37
Terry Apala,terry-apala,NG,domestic,provider registers the artist in Nigeria,N,31,221886.39
Terry G,terry-g,NG,domestic,provider registers the artist in Nigeria,N,30,8928.18
