dataset,field,tier,rows,depends_on_constants,providers,note
Nigeria_City_Geography_Quarterly,value/count,2 AGGREGATED,2456,,soundcharts,rollup of measured values; no constant involved
Quarterly_Aggregates_Full,variable_value,2 AGGREGATED,420891,,chartmetric+soundcharts,net change / sum / last value of tier 1 within the quarter
Radio_Stations_Quarterly,value/count,2 AGGREGATED,14519,,soundcharts,rollup of measured values; no constant involved
World_City_Geography_Quarterly,value/count,2 AGGREGATED,165397,,soundcharts,rollup of measured values; no constant involved
Revenue_By_Platform_Quarterly,deezer_revenue_usd,3 ESTIMATED,19141,"DEEZER_STREAMS_PER_FAN_MONTH, DEEZER_PER_STREAM",derived,measured quantity multiplied by an assumed rate
Revenue_By_Platform_Quarterly,domestic_revenue_usd,3 ESTIMATED,19141,"STREAMS_PER_LISTENER_MONTH, SPOTIFY_PER_STREAM",derived,measured quantity multiplied by an assumed rate
Revenue_By_Platform_Quarterly,export_revenue_ngn,3 ESTIMATED,19141,NAIRA_PER_USD,derived,measured quantity multiplied by an assumed rate
Revenue_By_Platform_Quarterly,export_revenue_usd,3 ESTIMATED,19141,"STREAMS_PER_LISTENER_MONTH, SPOTIFY_PER_STREAM",derived,measured quantity multiplied by an assumed rate
Revenue_By_Platform_Quarterly,gross_streaming_revenue_ngn,3 ESTIMATED,19141,NAIRA_PER_USD,derived,measured quantity multiplied by an assumed rate
Revenue_By_Platform_Quarterly,gross_streaming_revenue_usd,3 ESTIMATED,19141,"STREAMS_PER_LISTENER_MONTH, SPOTIFY_PER_STREAM, YOUTUBE_PER_VIEW, UNMEASURED_UPLIFT_RATE",derived,measured quantity multiplied by an assumed rate
Revenue_By_Platform_Quarterly,measured_platform_revenue_usd,3 ESTIMATED,19141,"STREAMS_PER_LISTENER_MONTH, SPOTIFY_PER_STREAM, YOUTUBE_PER_VIEW, DEEZER_PER_STREAM",derived,measured quantity multiplied by an assumed rate
Revenue_By_Platform_Quarterly,spotify_revenue_usd,3 ESTIMATED,19141,"STREAMS_PER_LISTENER_MONTH, SPOTIFY_PER_STREAM",derived,measured quantity multiplied by an assumed rate
Revenue_By_Platform_Quarterly,unmeasured_platform_uplift_usd,3 ESTIMATED,19141,UNMEASURED_UPLIFT_RATE,derived,measured quantity multiplied by an assumed rate
Revenue_By_Platform_Quarterly,youtube_revenue_usd,3 ESTIMATED,19141,YOUTUBE_PER_VIEW,derived,measured quantity multiplied by an assumed rate
Cost_By_Category_Quarterly,cost_ngn / cost_usd,4 ASSUMED,372,"AVG_PRODUCTION_COST_NGN, AVG_DISTRIBUTION_COST_NGN, AVG_PROMOTION_COST_NGN, AVG_HOSTING_COST_QUARTERLY_NGN, TRACKS_PER_QUARTER",none,NO measurement behind the naira figure; artist COUNT is measured
