artist_name,soundcharts_uuid,country,career_stage,growth_level,genres,songs,albums,chart_entries,playlist_entries,events,radio_stations_monitored,platform_identifiers
Muyeez,c143b697-93e1-42d6-a950-7d68e46501eb,NG,mid_level,average_growth,electro; latin; religious,53,21,1,424,0,40,24
Young Jonn,c3bea966-f6d7-11e8-ae58-549f35141000,NG,mainstream,average_growth,electro; pop; r&b; religious; traditional,400,60,93,600,38,856,43
Beautiful Nubia,c3c245e0-fa0a-11e8-9b82-549f35141000,NG,long_tail,average_growth,soul; traditional,183,11,0,290,0,46,16
Maintain,c4735108-b15b-4bd1-afd7-469273cc813f,US,long_tail,average_growth,reggae,35,0,0,347,0,81,5
Ayjay bobo,c4faf776-9099-4e92-b0d4-a8a46a26a8fc,NG,long_tail,average_growth,alternative; electro,54,26,10,417,0,53,16
Bello Sisqo,c7b37b51-582b-4652-9403-69b97d4e9ac7,DE,long_tail,average_growth,electro,30,26,0,18,0,3,19
Ejyk Nwamba,c7ee70bc-8bff-462b-baf6-97993ca41b20,NG,long_tail,average_growth,electro; latin; traditional,80,66,0,117,0,16,26
Saheed Osupa,c8175a62-2f85-49a8-9e82-44c260483ffc,,long_tail,average_growth,,2,0,0,1,0,0,3
Azanti,c8501053-edbc-43a9-a4a2-12e98fb18f9e,NG,long_tail,average_growth,alternative; electro; hip hop; r&b; soul,103,46,0,403,1,188,30
Ayo Maff,c85413b6-69ae-47b6-8219-87c66a967878,NG,mainstream,average_growth,electro; hip hop; pop; r&b; religious; traditional,118,65,13,479,0,214,29
Comfort Omoge,c8929a45-0e62-4b00-8a37-031ebaf29805,,long_tail,average_growth,,3,2,0,0,0,0,7
Faze,ca479122-83d0-11e9-9d6b-549f35161576,NG,long_tail,decline,hip hop; pop; r&b; reggae; rock; ska; traditional,211,38,0,362,120,16,28
Ali Jita,cb11fecc-b8e1-11e8-9a7c-525400009efb,NG,mid_level,average_growth,r&b,300,133,56,260,0,12,29
Yusuf Olatunji,cbdba504-311e-4487-af86-ef139948de40,,long_tail,average_growth,,2,1,0,0,0,2,3
Ema Onigah,cc067973-dd4f-457c-a1a8-c43ad48f3f46,NG,long_tail,average_growth,alternative; electro; hip hop; r&b; religious; soul; traditional,29,10,2,408,0,56,23
Fido,cc36544c-c25f-11e8-a24b-525400009efb,EG,mainstream,average_growth,electro; pop; r&b; religious,59,30,4,444,0,217,33
Made Kuti,cc3bb373-5ea1-45b8-9a0b-ae1c116c7ffa,NG,long_tail,average_growth,alternative; electro; others; traditional,48,30,1,413,9,555,29
Isah Ayagi,cc7babef-27b9-4992-9233-1c1514cd5297,NG,long_tail,average_growth,electro; pop,112,106,0,3,0,2,17
Aisosa,ccb735bb-1214-418d-b715-057d0daa17ff,NG,long_tail,average_growth,hip hop; r&b; traditional,17,8,0,24,0,0,18
SAMAD,cd3745e0-847f-40e0-8db5-c111de8a5702,NG,long_tail,average_growth,electro; religious,38,23,0,407,0,25,15
