entity_name,variable_name,period_label,aggregation_rule,aggregated_value,first_value,last_value,obs_count
2Baba,Genius_followers_daily,Q1_2024,net_change,0.0,5.0,5.0,88
2Baba,Genius_followers_daily,Q1_2025,net_change,0.0,5.0,5.0,6
2Baba,Genius_followers_daily,Q1_2026,net_change,0.0,5.0,5.0,6
2Baba,Genius_followers_daily,Q2_2023,net_change,1.0,4.0,5.0,57
2Baba,Genius_followers_daily,Q2_2024,net_change,0.0,5.0,5.0,9
2Baba,Genius_followers_daily,Q2_2025,net_change,0.0,5.0,5.0,6
2Baba,Genius_followers_daily,Q2_2026,net_change,0.0,5.0,5.0,7
2Baba,Genius_followers_daily,Q3_2023,net_change,0.0,5.0,5.0,92
2Baba,Genius_followers_daily,Q3_2024,net_change,0.0,5.0,5.0,6
2Baba,Genius_followers_daily,Q3_2025,net_change,0.0,5.0,5.0,7
2Baba,Genius_followers_daily,Q3_2026,net_change,0.0,5.0,5.0,3
2Baba,Genius_followers_daily,Q4_2023,net_change,0.0,5.0,5.0,91
2Baba,Genius_followers_daily,Q4_2024,net_change,0.0,5.0,5.0,5
2Baba,Genius_followers_daily,Q4_2025,net_change,0.0,5.0,5.0,6
2Baba,Instagram_followers_daily,Q1_2019,net_change,48820.0,4084231.0,4133051.0,13
2Baba,Instagram_followers_daily,Q1_2020,net_change,290192.0,5270335.0,5560527.0,86
2Baba,Instagram_followers_daily,Q1_2021,net_change,114182.0,6216641.0,6330823.0,57
2Baba,Instagram_followers_daily,Q1_2022,net_change,225491.0,6992092.0,7217583.0,78
2Baba,Instagram_followers_daily,Q1_2023,net_change,112333.0,7777965.0,7890298.0,46
2Baba,Instagram_followers_daily,Q1_2024,net_change,17793.0,8216081.0,8245398.0,31
2Baba,Instagram_followers_daily,Q1_2025,net_change,-36571.0,7988607.0,8055586.0,90
2Baba,Instagram_followers_daily,Q1_2026,net_change,-30947.0,7764302.0,7795330.0,79
2Baba,Instagram_followers_daily,Q2_2019,net_change,265242.0,4135858.0,4401100.0,86
2Baba,Instagram_followers_daily,Q2_2020,net_change,455262.0,5564976.0,6020238.0,86
2Baba,Instagram_followers_daily,Q2_2021,net_change,120503.0,6340349.0,6468082.0,69
2Baba,Instagram_followers_daily,Q2_2022,net_change,364078.0,7219362.0,7583440.0,42
2Baba,Instagram_followers_daily,Q2_2023,net_change,42912.0,7891381.0,7934293.0,43
2Baba,Instagram_followers_daily,Q2_2024,net_change,2134.0,8230044.0,8239831.0,42
2Baba,Instagram_followers_daily,Q2_2025,net_change,-100173.0,7887594.0,7987767.0,88
2Baba,Instagram_followers_daily,Q2_2026,net_change,-341743.0,7419497.0,7764486.0,59
2Baba,Instagram_followers_daily,Q3_2019,net_change,408731.0,4411400.0,4820131.0,78
2Baba,Instagram_followers_daily,Q3_2020,net_change,140985.0,6036388.0,6193378.0,77
2Baba,Instagram_followers_daily,Q3_2021,net_change,224212.0,6461854.0,6686066.0,80
2Baba,Instagram_followers_daily,Q3_2022,net_change,49019.0,7585750.0,7641277.0,42
2Baba,Instagram_followers_daily,Q3_2023,net_change,183607.0,7931330.0,8118461.0,42
2Baba,Instagram_followers_daily,Q3_2024,net_change,-143641.0,8091065.0,8234706.0,47
2Baba,Instagram_followers_daily,Q3_2025,net_change,-51459.0,7835466.0,7886925.0,88
2Baba,Instagram_followers_daily,Q3_2026,net_change,9307.0,7415882.0,7432334.0,32
2Baba,Instagram_followers_daily,Q4_2019,net_change,440015.0,4827440.0,5267455.0,85
2Baba,Instagram_followers_daily,Q4_2020,net_change,31535.0,6166562.0,6209468.0,78
2Baba,Instagram_followers_daily,Q4_2021,net_change,305526.0,6684133.0,6989659.0,68
2Baba,Instagram_followers_daily,Q4_2022,net_change,132095.0,7645178.0,7777273.0,41
2Baba,Instagram_followers_daily,Q4_2023,net_change,96050.0,8120019.0,8216069.0,32
2Baba,Instagram_followers_daily,Q4_2024,net_change,-64306.0,8026782.0,8091207.0,91
2Baba,Instagram_followers_daily,Q4_2025,net_change,-38650.0,7796016.0,7834666.0,91
2Baba,Playlist_Apple_Music_count_daily,Q1_2019,last_value,12.0,12.0,14.0,13
2Baba,Playlist_Apple_Music_count_daily,Q1_2020,last_value,16.0,7.0,17.0,13
2Baba,Playlist_Apple_Music_count_daily,Q1_2021,last_value,11.0,11.0,20.0,13
2Baba,Playlist_Apple_Music_count_daily,Q1_2022,last_value,16.0,15.0,18.0,12
2Baba,Playlist_Apple_Music_count_daily,Q1_2023,last_value,19.0,19.0,20.0,13
