entity_type,entity_name,chartmetric_entity_id,variable_name,platform,geo_scope,geo_label,period_label,aggregation_rule,aggregated_value,unit,qoq_change,yoy_change
artist,Ajebutter22,202020,YouTube_subscribers_daily,YouTube,global,,Q3_2025,net_change,139.0,subscribers,-48.0,-184.0
artist,Ajebutter22,202020,YouTube_subscribers_daily,YouTube,global,,Q4_2024,net_change,206.0,subscribers,-117.0,
artist,Ajebutter22,202020,YouTube_subscribers_daily,YouTube,global,,Q4_2025,net_change,109.0,subscribers,-30.0,-97.0
artist,Amaarae,834689,Bandsintown_followers_daily,Bandsintown,global,,Q1_2024,net_change,3871.0,followers,,
artist,Amaarae,834689,Bandsintown_followers_daily,Bandsintown,global,,Q1_2025,net_change,3983.0,followers,-672.0,112.0
artist,Amaarae,834689,Bandsintown_followers_daily,Bandsintown,global,,Q2_2024,net_change,3283.0,followers,-588.0,
artist,Amaarae,834689,Bandsintown_followers_daily,Bandsintown,global,,Q2_2025,net_change,5646.0,followers,1663.0,2363.0
artist,Amaarae,834689,Bandsintown_followers_daily,Bandsintown,global,,Q3_2024,net_change,3658.0,followers,375.0,
artist,Amaarae,834689,Bandsintown_followers_daily,Bandsintown,global,,Q3_2025,net_change,6769.0,followers,1123.0,3111.0
artist,Amaarae,834689,Bandsintown_followers_daily,Bandsintown,global,,Q4_2024,net_change,4655.0,followers,997.0,
artist,Amaarae,834689,Bandsintown_followers_daily,Bandsintown,global,,Q4_2025,net_change,3707.0,followers,-3062.0,-948.0
artist,Amaarae,834689,Instagram_followers_daily,Instagram,global,,Q1_2024,net_change,120458.0,followers,,
artist,Amaarae,834689,Instagram_followers_daily,Instagram,global,,Q1_2025,net_change,2910.0,followers,-48916.0,-117548.0
artist,Amaarae,834689,Instagram_followers_daily,Instagram,global,,Q2_2024,net_change,52148.0,followers,-68310.0,
artist,Amaarae,834689,Instagram_followers_daily,Instagram,global,,Q2_2025,net_change,-24919.0,followers,-27829.0,-77067.0
artist,Amaarae,834689,Instagram_followers_daily,Instagram,global,,Q3_2024,net_change,44969.0,followers,-7179.0,
artist,Amaarae,834689,Instagram_followers_daily,Instagram,global,,Q3_2025,net_change,-34488.0,followers,-9569.0,-79457.0
artist,Amaarae,834689,Instagram_followers_daily,Instagram,global,,Q4_2024,net_change,51826.0,followers,6857.0,
artist,Amaarae,834689,Instagram_followers_daily,Instagram,global,,Q4_2025,net_change,533.0,followers,35021.0,-51293.0
artist,Amaarae,834689,Soundcloud_followers_daily,Soundcloud,global,,Q1_2024,net_change,1517.0,followers,,
artist,Amaarae,834689,Soundcloud_followers_daily,Soundcloud,global,,Q1_2025,net_change,0.0,followers,,-1517.0
