period,artist_name,total_streaming_revenue_usd,nigeria_domestic_share_pct,domestic_revenue_usd,export_share_pct,gross_export_revenue_usd,gross_export_revenue_ngn,top_export_markets,source
Q4_2025,Reekado Banks,66836,30,20050.8,70,46785.2,70177805.04,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Rema,1516535.29,30,454960.59,70,1061574.7,1592362054,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Reminisce,38152.94,30,11445.88,70,26707.06,40060586.16,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Ric Hassani,43103.85,30,12931.16,70,30172.7,45259044.6,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Rude Boy,13067.8,30,3920.34,70,9147.46,13721190.21,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Ruger,390697.5,30,117209.25,70,273488.25,410232377.3,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Sarz,290888.53,30,87266.56,70,203621.97,305432959.9,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Sauce Kid,675.82,30,202.74,70,473.07,709606.8,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Sean Tizzle,20674.39,30,6202.32,70,14472.07,21708107.19,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Seyi Shay,34328.58,30,10298.57,70,24030,36045004.59,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Seyi Vibez,286989.94,30,86096.98,70,200892.96,301339439.1,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Shallipopi,441378.55,30,132413.56,70,308964.98,463447475.8,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Show Dem Camp,34683.09,30,10404.93,70,24278.17,36417249.54,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Simi,108747.68,30,32624.31,70,76123.38,114185068.8,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Skiibii,107461.79,30,32238.54,70,75223.25,112834874.9,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Small Doctor,10303.83,30,3091.15,70,7212.68,10819025.91,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Solidstar,5585.32,30,1675.6,70,3909.72,5864586.84,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Sound Sultan,7408.23,30,2222.47,70,5185.76,7778640.87,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Spyro,159453.08,30,47835.92,70,111617.15,167425728.8,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Tay Iwar,56348.9,30,16904.67,70,39444.23,59166343.53,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
